site_id,osm_id,confidence,review,match
33454,951712554,0.5,1,citta
36347,333158874,0.69,1,citta
39670,333158874,0.73,1,citta
23779,333300763,1,0,citta
28488,918111899,1,0,citta
37646,556117972,0.92,0,citta
28332,556117966,1,0,citta
22474,911139046,1,0,citta
42285,525600096,1,0,paese
36876,680096914,0.67,1,citta
34802,391120150,0.5,1,citta
21308,301872933,1,0,paese
31075,761314678,0.86,0,paese
31143,538904280,0.77,1,paese
38972,608125998,0.74,1,citta
22773,273432227,0.54,1,citta
23379,272813247,0.67,1,citta
22417,273432227,0.94,0,citta
29219,108387247,0.62,1,citta
30551,920631637,0.64,1,citta
21312,108387248,0.59,1,citta
36424,165930305,0.93,0,citta
21524,186839353,1,0,paese
39064,842181197,0.8,1,citta
25987,145115187,1,0,paese
21518,606502318,0.6,1,citta
31303,85102776,1,0,paese
31120,821985087,0.84,1,paese
39341,956765580,0.83,1,paese
34814,934173887,0.8,1,paese
35309,1148408830,0.86,0,paese
31193,900404528,0.67,1,citta
36212,330082644,0.86,0,paese
31873,1272568794,0.81,1,citta
21269,301612986,0.54,1,citta
37531,691224327,1,0,citta
31074,337215833,0.89,1,citta
39735,337210665,0.6,1,citta
21825,320330566,1,0,paese
24919,515184419,1,0,paese
22669,309356635,0.59,1,citta
24092,657321834,0.85,1,paese
40485,490287004,0.79,1,paese
27915,490287004,1,0,paese
30772,560936141,1,0,paese
21326,293133636,1,0,paese
21310,292950902,0.95,0,paese
21317,292976901,1,0,paese
43786,897732870,1,0,paese
37563,292950888,0.88,1,paese
35286,3633101580,0.77,1,paese
37810,1224714266,1,0,citta
38973,920655476,0.95,0,paese
37132,89640206,1,0,citta
21527,290648246,0.86,1,citta
23147,436125995,1,0,citta
21854,435883103,1,0,citta
21300,380861954,1,0,citta
27621,134467794,1,0,citta
25616,100457586,0.84,1,citta
21532,4980786159,0.67,1,citta
21826,435882554,1,0,citta
21298,1062165987,1,0,paese
39089,551362021,0.77,1,paese
34779,930468228,1,0,citta
28482,931829244,0.61,1,citta
28316,931829244,1,0,citta
